Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,1.0,8.5,0.0,1.0,0.0,3.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,11.0,13.0,1.0,22.5,0.16,29.0,29.0,32.0,22.0,1.0,3.9,13.0,1.0,4.5,12.0,1.0,5.8,40.0,0.0,0.9,3.0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,1.2222222222222223,13.333333333333334,0.0,9.0,0.0,1.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,7.0,9.0,1.7777777777777777,17.22222222222222,0.13,65.0,65.0,68.0,36.0,0.0,4.166666666666667,14.0,0.0,4.2,20.0,1.0,2.2666666666666666,12.0,0.0,0.6666666666666666,4.0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,2.0,5.0,1.0,1.0,23.0,0.0,1.0,14.0,0.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,9.0,64.0,1.0,72.0,0.09,90.0,32.0,90.0,22.0,2.0,10.722222222222221,47.0,1.0,5.277777777777778,23.0,1.0,4.777777777777778,56.0,0.0,0.3333333333333333,2.0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,1.0,16.142857142857142,0.0,7.0,2.0,2.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,21.0,23.0,1.2857142857142858,26.428571428571427,0.15,144.0,144.0,157.0,44.0,2.0,6.7727272727272725,28.0,2.0,9.409090909090908,56.0,1.0,362.77272727272725,7720.0,0.0,1.5454545454545454,5.0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,1.0,1.0,3.0,0.0,0.95,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,8.5,0.5,1.0,0.0,1.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,11.0,15.0,1.5,77.5,0.24,58.0,58.0,71.0,32.0,0.0,10.212121212121213,143.0,1.0,4.606060606060606,23.0,1.0,4.151515151515151,37.0,0.0,0.8181818181818182,5.0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,1.0,1.0,1.0,67.0,1.77,6.0,6.0,6.0,6.0,2.0,2.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,ATSHook.java,20.0,1.0,17.0,2.0,2.0,2.0,2.0,1.0,2.0,17.2,0.0,10.0,1.0,11.0,15.0,24.0,28.0,25.0,3.0,4.0,2.0,16.0,488.0,46.0,397.0,153.0,269.0,54.0,226.0,287.0,138.0,201.0,10.0,8.0,10.0,1.0,16.4,0.14,55.0,53.0,56.0,26.0,2.0,8.5,42.0,1.0,11.285714285714286,37.0,1.0,8.714285714285714,64.0,0.0,1.5,4.0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.8,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,2.2,9.6,0.0,6.0,3.0,6.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,5.0,7.0,1.4,14.2,0.1,61.0,61.0,63.0,48.0,0.0,2.5,8.0,1.0,2.6875,9.0,1.0,1.875,7.0,0.0,0.5625,3.0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,36.0,0.0,13.0,8.0,3.0,23.0,7.0,10.0,8.0,2.0,1.0,1.0,1.0,2.0,0.0,1.77,2.0,2.0,2.0,2.0,1.0,2.3333333333333335,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,2.2,11.4,0.0,6.0,3.0,5.0,39.0,38.0,4.0,41.0,1.0,2.0,0.0,38.0,438.0,67.0,346.0,110.0,164.0,28.0,154.0,236.0,101.0,149.0,6.0,6.0,9.0,1.4,8.8,0.08,75.0,75.0,80.0,51.0,0.0,2.3714285714285714,7.0,1.0,2.857142857142857,12.0,1.0,2.057142857142857,9.0,0.0,0.7428571428571429,4.0
File,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,7.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,12.0,10.0,1.0,12.0,0.0,4.0,3.0,5.0,515.0,52.0,395.0,155.0,236.0,69.0,193.0,282.0,137.0,205.0,26.0,26.0,29.0,1.0,73.0,0.17,75.0,75.0,82.0,38.0,0.0,4.4,10.0,1.0,13.4,49.0,0.0,106.5,834.0,0.0,3.1,6.0
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,1.0,1.4,9.6,4.6,6.0,1.0,2.0,40.0,41.0,20.0,42.0,0.0,4.0,13.0,25.0,438.0,63.0,347.0,118.0,172.0,28.0,154.0,246.0,116.0,153.0,8.0,8.0,11.0,1.4,18.6,0.08,82.0,82.0,92.0,45.0,1.0,8.314285714285715,23.0,1.0,3.8,15.0,1.0,2.7714285714285714,14.0,0.0,0.8,4.0
File,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,8.0,110.0,18.0,67.0,30.0,26.0,25.0,31.0,46.0,24.0,24.0,5.0,5.0,7.0,1.0,73.0,0.37,13.0,13.0,16.0,12.0,1.0,1.5714285714285714,4.0,1.0,1.4285714285714286,4.0,1.0,1.5714285714285714,5.0,0.0,0.2857142857142857,2.0
File,AbstractCorrelationProcCtx.java,5.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,2.0,13.0,2.0,1.0,0.0,1.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,99.0,14.0,63.0,28.0,23.0,23.0,35.0,49.0,29.0,22.0,5.0,5.0,5.0,1.0,70.0,0.37,12.0,12.0,12.0,8.0,1.0,4.857142857142857,8.0,1.0,1.2857142857142858,2.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,68.0,8.0,11.0,10.0,0.0,49.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,50.0,4.45,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,0.5,1.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0
File,AbstractEncodingAwareSerDe.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,13.0,2.0,1.0,0.0,1.0,7.0,7.0,1.0,7.0,0.0,0.0,4.0,3.0,87.0,12.0,43.0,27.0,11.0,32.0,23.0,30.0,21.0,11.0,2.0,2.0,3.0,2.0,0.0,0.74,6.0,6.0,7.0,3.0,1.0,3.857142857142857,10.0,1.0,2.4285714285714284,5.0,0.0,0.8571428571428571,2.0,0.0,0.42857142857142855,1.0
File,AbstractExpression.java,8.0,0.0,8.0,0.0,2.0,2.0,2.0,1.0,1.0,15.0,34.0,1.0,0.0,1.0,12.0,12.0,2.0,12.0,0.0,0.0,10.0,2.0,150.0,16.0,121.0,59.0,56.0,13.0,82.0,105.0,58.0,63.0,3.0,3.0,3.0,1.0,91.0,0.11,22.0,22.0,22.0,11.0,0.0,8.333333333333334,38.0,0.0,4.083333333333333,7.0,0.0,1.8333333333333333,3.0,0.0,0.9166666666666666,2.0
File,AbstractFileMergeOperator.java,18.0,1.0,14.0,4.0,3.0,3.0,3.0,1.0,2.0,18.0,2.0,1.0,1.0,2.0,12.0,11.0,16.0,12.0,0.0,2.0,4.0,6.0,293.0,23.0,204.0,69.0,118.0,66.0,107.0,142.0,61.0,94.0,9.0,9.0,10.0,2.0,81.0,0.32,33.0,33.0,36.0,12.0,1.0,5.4,13.0,1.0,7.9,29.0,1.0,3.9,15.0,0.0,1.4,5.0
File,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,3.0,3.0,2.0,1.75,6.25,0.25,10.0,0.0,1.0,30.0,30.0,21.0,30.0,9.0,1.0,1.0,19.0,533.0,65.0,365.0,115.0,202.0,105.0,184.0,271.0,120.0,160.0,24.0,24.0,24.0,1.125,19.5,0.29,76.0,76.0,80.0,42.0,0.0,4.285714285714286,19.0,1.0,2.8095238095238093,15.0,0.0,6.857142857142857,108.0,0.0,0.8095238095238095,5.0
File,AbstractGenericUDAFResolver.java,9.0,1.0,8.0,0.0,2.0,2.0,2.0,1.0,2.0,6.0,21.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,56.0,6.0,23.0,12.0,6.0,27.0,6.0,10.0,6.0,4.0,2.0,2.0,2.0,1.0,0.0,1.17,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.5,5.0,1.0,1.5,2.0,0.0,0.5,1.0
File,AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,13.0,0.0,2.0,2.0,2.0,1.0,1.0,23.0,2.0,1.0,0.0,0.0,7.0,7.0,3.0,7.0,1.0,0.0,3.0,3.0,146.0,19.0,106.0,49.0,58.0,21.0,59.0,75.0,46.0,43.0,4.0,4.0,4.0,2.0,67.0,0.2,14.0,14.0,14.0,6.0,1.0,3.1666666666666665,5.0,1.0,6.0,10.0,0.0,3.1666666666666665,8.0,0.0,0.6666666666666666,1.0
File,AbstractGenericUDFReflect.java,15.0,0.0,14.0,1.0,3.0,3.0,5.0,2.0,1.0,14.0,2.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,3.0,0.0,1.0,1.0,108.0,11.0,71.0,25.0,37.0,26.0,40.0,54.0,27.0,29.0,6.0,6.0,13.0,2.0,50.0,0.37,13.0,13.0,20.0,9.0,1.0,6.0,11.0,1.0,5.2,10.0,0.0,3.8,13.0,0.0,1.2,3.0
File,AbstractHBaseKeyFactory.java,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,53.0,8.0,28.0,19.0,5.0,17.0,17.0,21.0,16.0,5.0,1.0,1.0,1.0,1.0,67.0,0.61,3.0,3.0,3.0,3.0,2.0,2.6666666666666665,3.0,2.0,2.6666666666666665,4.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,12.0,3.0,2.0,2.0,2.0,2.0,1.0,14.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,80.0,10.0,38.0,19.0,18.0,32.0,25.0,30.0,18.0,16.0,3.0,3.0,3.0,1.0,0.0,0.84,4.0,4.0,4.0,4.0,1.0,2.3333333333333335,5.0,1.0,5.666666666666667,15.0,0.0,1.3333333333333333,3.0,0.0,0.6666666666666666,2.0
File,AbstractHiveAuthorizer.java,8.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,4.0,7.0,4.0,1.0,30.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.29,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
File,AbstractHiveService.java,6.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,17.0,17.0,6.0,17.0,0.0,0.0,2.0,15.0,159.0,22.0,78.0,30.0,30.0,59.0,36.0,58.0,31.0,28.0,2.0,2.0,2.0,1.0,81.0,0.76,20.0,20.0,20.0,17.0,1.0,4.6875,29.0,1.0,1.5,3.0,1.0,1.1875,2.0,0.0,0.1875,1.0
